Search Term,plant based near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-12-01,29
2012-12-08,25
2012-12-15,0
2012-12-22,0
2012-12-29,34
2013-01-05,0
2013-01-12,39
2013-01-19,29
2013-01-26,0
2013-02-02,0
2013-02-09,0
2013-02-16,0
2013-02-23,0
2013-03-02,0
2013-03-09,33
2013-03-16,0
2013-03-23,0
2013-03-30,23
2013-04-06,0
2013-04-13,0
2013-04-20,41
2013-04-27,0
2013-05-04,0
2013-05-11,24
2013-05-18,0
2013-05-25,0
2013-06-01,0
2013-06-08,0
2013-06-15,0
2013-06-22,0
2013-06-29,29
2013-07-06,0
2013-07-13,23
2013-07-20,0
2013-07-27,0
2013-08-03,0
2013-08-10,0
2013-08-17,0
2013-08-24,0
2013-08-31,0
2013-09-07,0
2013-09-14,30
2013-09-21,31
2013-09-28,0
2013-10-05,0
2013-10-12,0
2013-10-19,0
2013-10-26,0
2013-11-02,0
2013-11-09,0
2013-11-16,0
2013-11-23,0
2013-11-30,0
2013-12-07,100
2013-12-14,0
2013-12-21,0
2013-12-28,0
2014-01-04,0
2014-01-11,0
2014-01-18,0
2014-01-25,0
2014-02-01,0
2014-02-08,0
2014-02-15,0
2014-02-22,0
2014-03-01,17
2014-03-08,0
2014-03-15,0
2014-03-22,0
2014-03-29,18
2014-04-05,0
2014-04-12,0
2014-04-19,0
2014-04-26,32
2014-05-03,0
2014-05-10,0
2014-05-17,0
2014-05-24,0
2014-05-31,0
2014-06-07,27
2014-06-14,22
2014-06-21,0
2014-06-28,46
2014-07-05,47
2014-07-12,44
2014-07-19,0
2014-07-26,0
2014-08-02,0
2014-08-09,0
2014-08-16,0
2014-08-23,0
2014-08-30,0
2014-09-06,0
2014-09-13,0
2014-09-20,0
2014-09-27,55
2014-10-04,35
2014-10-11,18
2014-10-18,0
2014-10-25,0
2014-11-01,0
2014-11-08,37
2014-11-15,0
2014-11-22,0
2014-11-29,0
2014-12-06,0
2014-12-13,0
2014-12-20,0
2014-12-27,0
2015-01-03,0
2015-01-10,0
2015-01-17,0
2015-01-24,28
2015-01-31,0
2015-02-07,0
2015-02-14,0
2015-02-21,39
2015-02-28,53
2015-03-07,0
2015-03-14,0
2015-03-21,0
2015-03-28,20
2015-04-04,0
2015-04-11,0
2015-04-18,0
2015-04-25,0
2015-05-02,88
2015-05-09,0
2015-05-16,0
2015-05-23,25
2015-05-30,0
2015-06-06,0
2015-06-13,0
2015-06-20,31
2015-06-27,0
2015-07-04,40
2015-07-11,0
2015-07-18,0
2015-07-25,0
2015-08-01,43
2015-08-08,0
2015-08-15,19
2015-08-22,0
2015-08-29,0
2015-09-05,0
2015-09-12,0
2015-09-19,0
2015-09-26,0
2015-10-03,41
2015-10-10,23
2015-10-17,0
2015-10-24,32
2015-10-31,0
2015-11-07,0
2015-11-14,22
2015-11-21,0
2015-11-28,26
2015-12-05,0
2015-12-12,0
2015-12-19,0
2015-12-26,0
2016-01-02,37
2016-01-09,0
2016-01-16,0
2016-01-23,0
2016-01-30,57
2016-02-06,0
2016-02-13,0
2016-02-20,0
2016-02-27,0
2016-03-05,0
2016-03-12,0
2016-03-19,0
2016-03-26,56
2016-04-02,0
2016-04-09,93
2016-04-16,18
2016-04-23,18
2016-04-30,0
2016-05-07,0
2016-05-14,0
2016-05-21,0
2016-05-28,0
2016-06-04,32
2016-06-11,0
2016-06-18,28
2016-06-25,0
2016-07-02,0
2016-07-09,0
2016-07-16,31
2016-07-23,30
2016-07-30,38
2016-08-06,0
2016-08-13,0
2016-08-20,0
2016-08-27,0
2016-09-03,29
2016-09-10,34
2016-09-17,26
2016-09-24,0
2016-10-01,38
2016-10-08,15
2016-10-15,0
2016-10-22,0
2016-10-29,0
2016-11-05,62
2016-11-12,21
2016-11-19,29
2016-11-26,43
2016-12-03,0
2016-12-10,22
2016-12-17,0
2016-12-24,21
2016-12-31,14
