Search Term,plant based recipes
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,0
2008-12-06,0
2008-12-13,0
2008-12-20,0
2008-12-27,0
2009-01-03,0
2009-01-10,0
2009-01-17,0
2009-01-24,0
2009-01-31,0
2009-02-07,43
2009-02-14,0
2009-02-21,0
2009-02-28,0
2009-03-07,0
2009-03-14,0
2009-03-21,0
2009-03-28,0
2009-04-04,0
2009-04-11,0
2009-04-18,0
2009-04-25,0
2009-05-02,0
2009-05-09,0
2009-05-16,0
2009-05-23,0
2009-05-30,0
2009-06-06,0
2009-06-13,0
2009-06-20,0
2009-06-27,0
2009-07-04,0
2009-07-11,0
2009-07-18,0
2009-07-25,0
2009-08-01,0
2009-08-08,0
2009-08-15,0
2009-08-22,0
2009-08-29,0
2009-09-05,0
2009-09-12,0
2009-09-19,0
2009-09-26,0
2009-10-03,0
2009-10-10,0
2009-10-17,0
2009-10-24,0
2009-10-31,0
2009-11-07,0
2009-11-14,0
2009-11-21,0
2009-11-28,0
2009-12-05,0
2009-12-12,0
2009-12-19,0
2009-12-26,0
2010-01-02,0
2010-01-09,0
2010-01-16,0
2010-01-23,0
2010-01-30,0
2010-02-06,0
2010-02-13,0
2010-02-20,0
2010-02-27,0
2010-03-06,0
2010-03-13,0
2010-03-20,0
2010-03-27,0
2010-04-03,0
2010-04-10,0
2010-04-17,0
2010-04-24,0
2010-05-01,0
2010-05-08,0
2010-05-15,0
2010-05-22,0
2010-05-29,0
2010-06-05,0
2010-06-12,0
2010-06-19,0
2010-06-26,0
2010-07-03,0
2010-07-10,0
2010-07-17,0
2010-07-24,0
2010-07-31,0
2010-08-07,0
2010-08-14,0
2010-08-21,0
2010-08-28,0
2010-09-04,0
2010-09-11,0
2010-09-18,0
2010-09-25,0
2010-10-02,0
2010-10-09,0
2010-10-16,0
2010-10-23,0
2010-10-30,0
2010-11-06,0
2010-11-13,0
2010-11-20,0
2010-11-27,0
2010-12-04,0
2010-12-11,0
2010-12-18,0
2010-12-25,0
2011-01-01,0
2011-01-08,0
2011-01-15,0
2011-01-22,0
2011-01-29,0
2011-02-05,0
2011-02-12,0
2011-02-19,0
2011-02-26,0
2011-03-05,0
2011-03-12,0
2011-03-19,0
2011-03-26,0
2011-04-02,0
2011-04-09,0
2011-04-16,0
2011-04-23,0
2011-04-30,0
2011-05-07,0
2011-05-14,0
2011-05-21,0
2011-05-28,0
2011-06-04,0
2011-06-11,0
2011-06-18,0
2011-06-25,0
2011-07-02,0
2011-07-09,0
2011-07-16,0
2011-07-23,0
2011-07-30,0
2011-08-06,0
2011-08-13,0
2011-08-20,0
2011-08-27,23
2011-09-03,97
2011-09-10,84
2011-09-17,100
2011-09-24,98
2011-10-01,69
2011-10-08,54
2011-10-15,36
2011-10-22,51
2011-10-29,46
2011-11-05,44
2011-11-12,33
2011-11-19,36
2011-11-26,40
2011-12-03,0
2011-12-10,0
2011-12-17,0
2011-12-24,61
2011-12-31,52
2012-01-07,67
2012-01-14,52
2012-01-21,87
2012-01-28,59
2012-02-04,50
2012-02-11,48
2012-02-18,40
2012-02-25,54
2012-03-03,37
2012-03-10,50
2012-03-17,37
2012-03-24,51
2012-03-31,46
2012-04-07,50
2012-04-14,45
2012-04-21,49
2012-04-28,38
2012-05-05,46
2012-05-12,36
2012-05-19,35
2012-05-26,43
2012-06-02,66
2012-06-09,36
2012-06-16,29
2012-06-23,49
2012-06-30,57
2012-07-07,37
2012-07-14,44
2012-07-21,34
2012-07-28,24
2012-08-04,38
2012-08-11,30
2012-08-18,38
2012-08-25,42
2012-09-01,39
2012-09-08,22
2012-09-15,23
2012-09-22,33
2012-09-29,19
2012-10-06,26
2012-10-13,27
2012-10-20,0
2012-10-27,25
2012-11-03,27
2012-11-10,29
2012-11-17,21
2012-11-24,0
2012-12-01,21
2012-12-08,28
2012-12-15,24
2012-12-22,37
2012-12-29,63
