Search Term,vegetarian restaurant near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,0
2012-12-01,0
2012-12-08,0
2012-12-15,40
2012-12-22,0
2012-12-29,0
2013-01-05,0
2013-01-12,0
2013-01-19,0
2013-01-26,0
2013-02-02,0
2013-02-09,0
2013-02-16,0
2013-02-23,0
2013-03-02,0
2013-03-09,0
2013-03-16,0
2013-03-23,0
2013-03-30,0
2013-04-06,0
2013-04-13,0
2013-04-20,0
2013-04-27,0
2013-05-04,0
2013-05-11,0
2013-05-18,0
2013-05-25,0
2013-06-01,0
2013-06-08,0
2013-06-15,0
2013-06-22,0
2013-06-29,0
2013-07-06,0
2013-07-13,0
2013-07-20,0
2013-07-27,0
2013-08-03,0
2013-08-10,0
2013-08-17,0
2013-08-24,0
2013-08-31,0
2013-09-07,0
2013-09-14,0
2013-09-21,0
2013-09-28,0
2013-10-05,0
2013-10-12,0
2013-10-19,0
2013-10-26,0
2013-11-02,0
2013-11-09,0
2013-11-16,0
2013-11-23,0
2013-11-30,0
2013-12-07,0
2013-12-14,0
2013-12-21,0
2013-12-28,0
2014-01-04,0
2014-01-11,0
2014-01-18,0
2014-01-25,0
2014-02-01,0
2014-02-08,0
2014-02-15,0
2014-02-22,39
2014-03-01,0
2014-03-08,0
2014-03-15,0
2014-03-22,0
2014-03-29,35
2014-04-05,0
2014-04-12,0
2014-04-19,0
2014-04-26,0
2014-05-03,0
2014-05-10,0
2014-05-17,0
2014-05-24,0
2014-05-31,0
2014-06-07,0
2014-06-14,0
2014-06-21,0
2014-06-28,0
2014-07-05,0
2014-07-12,0
2014-07-19,0
2014-07-26,0
2014-08-02,0
2014-08-09,0
2014-08-16,0
2014-08-23,0
2014-08-30,0
2014-09-06,0
2014-09-13,0
2014-09-20,0
2014-09-27,0
2014-10-04,0
2014-10-11,0
2014-10-18,0
2014-10-25,0
2014-11-01,0
2014-11-08,31
2014-11-15,0
2014-11-22,0
2014-11-29,0
2014-12-06,0
2014-12-13,0
2014-12-20,0
2014-12-27,0
2015-01-03,0
2015-01-10,0
2015-01-17,0
2015-01-24,0
2015-01-31,0
2015-02-07,0
2015-02-14,0
2015-02-21,0
2015-02-28,0
2015-03-07,0
2015-03-14,0
2015-03-21,0
2015-03-28,0
2015-04-04,0
2015-04-11,0
2015-04-18,0
2015-04-25,0
2015-05-02,0
2015-05-09,0
2015-05-16,0
2015-05-23,0
2015-05-30,0
2015-06-06,0
2015-06-13,0
2015-06-20,0
2015-06-27,0
2015-07-04,0
2015-07-11,0
2015-07-18,0
2015-07-25,0
2015-08-01,0
2015-08-08,0
2015-08-15,40
2015-08-22,0
2015-08-29,0
2015-09-05,31
2015-09-12,0
2015-09-19,35
2015-09-26,0
2015-10-03,0
2015-10-10,37
2015-10-17,37
2015-10-24,0
2015-10-31,0
2015-11-07,34
2015-11-14,0
2015-11-21,30
2015-11-28,0
2015-12-05,0
2015-12-12,0
2015-12-19,41
2015-12-26,39
2016-01-02,24
2016-01-09,0
2016-01-16,28
2016-01-23,49
2016-01-30,28
2016-02-06,30
2016-02-13,43
2016-02-20,32
2016-02-27,52
2016-03-05,0
2016-03-12,45
2016-03-19,56
2016-03-26,38
2016-04-02,52
2016-04-09,40
2016-04-16,42
2016-04-23,56
2016-04-30,50
2016-05-07,68
2016-05-14,54
2016-05-21,44
2016-05-28,66
2016-06-04,50
2016-06-11,55
2016-06-18,56
2016-06-25,85
2016-07-02,71
2016-07-09,61
2016-07-16,76
2016-07-23,100
2016-07-30,71
2016-08-06,66
2016-08-13,68
2016-08-20,73
2016-08-27,47
2016-09-03,84
2016-09-10,91
2016-09-17,57
2016-09-24,73
2016-10-01,75
2016-10-08,72
2016-10-15,68
2016-10-22,60
2016-10-29,56
2016-11-05,60
2016-11-12,83
2016-11-19,79
2016-11-26,58
2016-12-03,41
2016-12-10,68
2016-12-17,66
2016-12-24,81
2016-12-31,77
