Search Term,vegan
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,12
2004-01-31,11
2004-02-29,11
2004-03-31,11
2004-04-30,10
2004-05-31,10
2004-06-30,12
2004-07-31,11
2004-08-31,9
2004-09-30,12
2004-10-31,13
2004-11-30,13
2004-12-31,11
2005-01-31,11
2005-02-28,10
2005-03-31,11
2005-04-30,12
2005-05-31,11
2005-06-30,10
2005-07-31,11
2005-08-31,10
2005-09-30,10
2005-10-31,13
2005-11-30,12
2005-12-31,11
2006-01-31,11
2006-02-28,12
2006-03-31,11
2006-04-30,11
2006-05-31,11
2006-06-30,13
2006-07-31,12
2006-08-31,11
2006-09-30,12
2006-10-31,12
2006-11-30,12
2006-12-31,11
2007-01-31,12
2007-02-28,12
2007-03-31,12
2007-04-30,13
2007-05-31,12
2007-06-30,12
2007-07-31,12
2007-08-31,12
2007-09-30,13
2007-10-31,14
2007-11-30,14
2007-12-31,14
2008-01-31,14
2008-02-29,15
2008-03-31,13
2008-04-30,13
2008-05-31,14
2008-06-30,14
2008-07-31,14
2008-08-31,12
2008-09-30,13
2008-10-31,14
2008-11-30,15
2008-12-31,13
2009-01-31,14
2009-02-28,13
2009-03-31,13
2009-04-30,13
2009-05-31,13
2009-06-30,14
2009-07-31,14
2009-08-31,13
2009-09-30,14
2009-10-31,15
2009-11-30,15
2009-12-31,15
2010-01-31,15
2010-02-28,15
2010-03-31,15
2010-04-30,14
2010-05-31,14
2010-06-30,15
2010-07-31,16
2010-08-31,16
2010-09-30,16
2010-10-31,17
2010-11-30,17
2010-12-31,18
2011-01-31,19
2011-02-28,19
2011-03-31,20
2011-04-30,17
2011-05-31,17
2011-06-30,17
2011-07-31,19
2011-08-31,20
2011-09-30,20
2011-10-31,21
2011-11-30,21
2011-12-31,23
2012-01-31,23
2012-02-29,23
2012-03-31,22
2012-04-30,21
2012-05-31,22
2012-06-30,24
2012-07-31,23
2012-08-31,24
2012-09-30,22
2012-10-31,25
2012-11-30,25
2012-12-31,27
2013-01-31,27
2013-02-28,27
2013-03-31,25
2013-04-30,25
2013-05-31,25
2013-06-30,25
2013-07-31,26
2013-08-31,25
2013-09-30,26
2013-10-31,28
2013-11-30,30
2013-12-31,31
2014-01-31,31
2014-02-28,31
2014-03-31,31
2014-04-30,30
2014-05-31,27
2014-06-30,29
2014-07-31,30
2014-08-31,29
2014-09-30,29
2014-10-31,31
2014-11-30,31
2014-12-31,32
2015-01-31,32
2015-02-28,32
2015-03-31,33
2015-04-30,33
2015-05-31,35
2015-06-30,35
2015-07-31,37
2015-08-31,36
2015-09-30,38
2015-10-31,40
2015-11-30,42
2015-12-31,44
2016-01-31,48
2016-02-29,47
2016-03-31,46
2016-04-30,53
2016-05-31,49
2016-06-30,49
2016-07-31,46
2016-08-31,47
2016-09-30,49
2016-10-31,57
2016-11-30,68
2016-12-31,54
2017-01-31,53
2017-02-28,53
2017-03-31,53
2017-04-30,50
2017-05-31,55
2017-06-30,73
2017-07-31,75
2017-08-31,69
2017-09-30,69
2017-10-31,71
2017-11-30,73
2017-12-31,79
2018-01-31,74
2018-02-28,72
2018-03-31,70
2018-04-30,66
2018-05-31,63
2018-06-30,66
2018-07-31,65
2018-08-31,66
2018-09-30,68
2018-10-31,73
2018-11-30,74
2018-12-31,77
2019-01-31,68
2019-02-28,65
2019-03-31,72
2019-04-30,65
2019-05-31,71
2019-06-30,67
2019-07-31,71
2019-08-31,70
2019-09-30,78
2019-10-31,96
2019-11-30,91
2019-12-31,100
2020-01-31,84
2020-02-29,67
2020-03-31,73
2020-04-30,71
2020-05-31,73
2020-06-30,73
2020-07-31,76
2020-08-31,74
2020-09-30,66
2020-10-31,68
2020-11-30,72
2020-12-31,71
2021-01-31,70
2021-02-28,67
2021-03-31,67
2021-04-30,64
2021-05-31,63
2021-06-30,69
2021-07-31,67
2021-08-31,60
2021-09-30,63
2021-10-31,66
2021-11-30,71
2021-12-31,76
2022-01-31,64
2022-02-28,67
2022-03-31,66
2022-04-30,59
2022-05-31,58
2022-06-30,59
2022-07-31,54
2022-08-31,56
2022-09-30,56
2022-10-31,56
2022-11-30,63
2022-12-31,59
2023-01-31,51
2023-02-28,55
2023-03-31,54
2023-04-30,48
2023-05-31,51
2023-06-30,54
2023-07-31,51
2023-08-31,49
2023-09-30,48
2023-10-31,51
2023-11-30,57
2023-12-31,59
2024-01-31,54
2024-02-29,54
2024-03-31,46
2024-04-30,47
