,Search Term,cowspiracy: the sustainability secret
0,2012-11-24,0.0
1,2012-12-01,0.0
2,2012-12-08,0.0
3,2012-12-15,0.0
4,2012-12-22,0.0
5,2012-12-29,0.0
6,2013-01-05,0.0
7,2013-01-12,0.0
8,2013-01-19,0.0
9,2013-01-26,0.0
10,2013-02-02,0.0
11,2013-02-09,0.0
12,2013-02-16,0.0
13,2013-02-23,0.0
14,2013-03-02,0.0
15,2013-03-09,0.0
16,2013-03-16,0.0
17,2013-03-23,0.0
18,2013-03-30,0.0
19,2013-04-06,0.0
20,2013-04-13,0.0
21,2013-04-20,0.0
22,2013-04-27,0.0
23,2013-05-04,0.0
24,2013-05-11,0.0
25,2013-05-18,0.0
26,2013-05-25,0.0
27,2013-06-01,0.0
28,2013-06-08,0.0
29,2013-06-15,0.0
30,2013-06-22,0.0
31,2013-06-29,0.0
32,2013-07-06,0.0
33,2013-07-13,0.0
34,2013-07-20,0.0
35,2013-07-27,0.0
36,2013-08-03,0.0
37,2013-08-10,0.0
38,2013-08-17,0.0
39,2013-08-24,0.0
40,2013-08-31,0.0
41,2013-09-07,0.0
42,2013-09-14,0.0
43,2013-09-21,0.0
44,2013-09-28,0.0
45,2013-10-05,0.0
46,2013-10-12,0.0
47,2013-10-19,0.0
48,2013-10-26,0.0
49,2013-11-02,0.0
50,2013-11-09,0.0
51,2013-11-16,0.0
52,2013-11-23,0.0
53,2013-11-30,0.0
54,2013-12-07,0.0
55,2013-12-14,0.0
56,2013-12-21,0.0
57,2013-12-28,0.0
58,2014-01-04,0.0
59,2014-01-11,0.0
60,2014-01-18,0.0
61,2014-01-25,0.0
62,2014-02-01,0.0
63,2014-02-08,0.0
64,2014-02-15,0.0
65,2014-02-22,0.0
66,2014-03-01,0.0
67,2014-03-08,0.0
68,2014-03-15,0.0
69,2014-03-22,0.0
70,2014-03-29,0.0
71,2014-04-05,0.0
72,2014-04-12,0.0
73,2014-04-19,1.0
74,2014-04-26,1.0
75,2014-05-03,0.0
76,2014-05-10,0.0
77,2014-05-17,0.0
78,2014-05-24,0.0
79,2014-05-31,1.0
80,2014-06-07,1.0
81,2014-06-14,2.0
82,2014-06-21,2.0
83,2014-06-28,1.0
84,2014-07-05,1.0
85,2014-07-12,4.0
86,2014-07-19,5.0
87,2014-07-26,3.0000000000000004
88,2014-08-02,3.0000000000000004
89,2014-08-09,5.0
90,2014-08-16,5.0
91,2014-08-23,6.999999999999999
92,2014-08-30,6.999999999999999
93,2014-09-06,6.000000000000001
94,2014-09-13,6.000000000000001
95,2014-09-20,6.999999999999999
96,2014-09-27,6.999999999999999
97,2014-10-04,6.000000000000001
98,2014-10-11,6.999999999999999
99,2014-10-18,6.000000000000001
100,2014-10-25,5.0
101,2014-11-01,6.999999999999999
102,2014-11-08,9.000000000000002
103,2014-11-15,11.0
104,2014-11-22,9.000000000000002
105,2014-11-29,10.0
106,2014-12-06,12.000000000000002
107,2014-12-13,8.0
108,2014-12-20,8.0
109,2014-12-27,9.000000000000002
110,2015-01-03,13.0
111,2015-01-10,13.0
112,2015-01-17,10.0
113,2015-01-24,9.000000000000002
114,2015-01-31,8.0
115,2015-02-07,6.999999999999999
116,2015-02-14,9.000000000000002
117,2015-02-21,11.0
118,2015-02-28,9.000000000000002
119,2015-03-07,6.999999999999999
120,2015-03-14,8.0
121,2015-03-21,9.000000000000002
122,2015-03-28,8.0
123,2015-04-04,15.0
124,2015-04-11,8.0
125,2015-04-18,18.000000000000004
126,2015-04-25,13.0
127,2015-05-02,10.0
128,2015-05-09,10.0
129,2015-05-16,9.000000000000002
130,2015-05-23,8.0
131,2015-05-30,9.000000000000002
132,2015-06-06,8.0
133,2015-06-13,6.999999999999999
134,2015-06-20,6.000000000000001
135,2015-06-27,6.000000000000001
136,2015-07-04,6.999999999999999
137,2015-07-11,6.000000000000001
138,2015-07-18,6.000000000000001
139,2015-07-25,6.999999999999999
140,2015-08-01,6.999999999999999
