Search Term,vegan restaurant near me
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,0
2012-12-01,0
2012-12-08,0
2012-12-15,0
2012-12-22,0
2012-12-29,0
2013-01-05,0
2013-01-12,0
2013-01-19,0
2013-01-26,21
2013-02-02,0
2013-02-09,0
2013-02-16,0
2013-02-23,0
2013-03-02,0
2013-03-09,0
2013-03-16,0
2013-03-23,0
2013-03-30,0
2013-04-06,0
2013-04-13,0
2013-04-20,0
2013-04-27,0
2013-05-04,0
2013-05-11,0
2013-05-18,0
2013-05-25,0
2013-06-01,0
2013-06-08,0
2013-06-15,0
2013-06-22,0
2013-06-29,0
2013-07-06,0
2013-07-13,0
2013-07-20,0
2013-07-27,0
2013-08-03,0
2013-08-10,0
2013-08-17,0
2013-08-24,0
2013-08-31,0
2013-09-07,0
2013-09-14,0
2013-09-21,0
2013-09-28,0
2013-10-05,0
2013-10-12,0
2013-10-19,0
2013-10-26,0
2013-11-02,0
2013-11-09,0
2013-11-16,0
2013-11-23,0
2013-11-30,0
2013-12-07,0
2013-12-14,0
2013-12-21,0
2013-12-28,0
2014-01-04,0
2014-01-11,0
2014-01-18,0
2014-01-25,0
2014-02-01,0
2014-02-08,0
2014-02-15,0
2014-02-22,0
2014-03-01,0
2014-03-08,0
2014-03-15,0
2014-03-22,0
2014-03-29,0
2014-04-05,0
2014-04-12,19
2014-04-19,0
2014-04-26,0
2014-05-03,21
2014-05-10,0
2014-05-17,0
2014-05-24,0
2014-05-31,0
2014-06-07,0
2014-06-14,0
2014-06-21,0
2014-06-28,0
2014-07-05,0
2014-07-12,0
2014-07-19,0
2014-07-26,0
2014-08-02,0
2014-08-09,0
2014-08-16,0
2014-08-23,27
2014-08-30,25
2014-09-06,0
2014-09-13,0
2014-09-20,0
2014-09-27,0
2014-10-04,0
2014-10-11,0
2014-10-18,25
2014-10-25,0
2014-11-01,0
2014-11-08,0
2014-11-15,0
2014-11-22,0
2014-11-29,0
2014-12-06,0
2014-12-13,0
2014-12-20,0
2014-12-27,0
2015-01-03,18
2015-01-10,0
2015-01-17,0
2015-01-24,0
2015-01-31,0
2015-02-07,17
2015-02-14,17
2015-02-21,0
2015-02-28,0
2015-03-07,23
2015-03-14,16
2015-03-21,0
2015-03-28,24
2015-04-04,21
2015-04-11,21
2015-04-18,0
2015-04-25,28
2015-05-02,15
2015-05-09,17
2015-05-16,0
2015-05-23,24
2015-05-30,16
2015-06-06,20
2015-06-13,23
2015-06-20,0
2015-06-27,0
2015-07-04,29
2015-07-11,28
2015-07-18,20
2015-07-25,35
2015-08-01,39
2015-08-08,23
2015-08-15,26
2015-08-22,22
2015-08-29,27
2015-09-05,27
2015-09-12,26
2015-09-19,25
2015-09-26,28
2015-10-03,24
2015-10-10,34
2015-10-17,28
2015-10-24,26
2015-10-31,23
2015-11-07,23
2015-11-14,25
2015-11-21,25
2015-11-28,21
2015-12-05,32
2015-12-12,40
2015-12-19,25
2015-12-26,63
2016-01-02,35
2016-01-09,26
2016-01-16,33
2016-01-23,36
2016-01-30,35
2016-02-06,35
2016-02-13,49
2016-02-20,55
2016-02-27,46
2016-03-05,41
2016-03-12,63
2016-03-19,44
2016-03-26,37
2016-04-02,54
2016-04-09,74
2016-04-16,63
2016-04-23,53
2016-04-30,58
2016-05-07,55
2016-05-14,62
2016-05-21,54
2016-05-28,76
2016-06-04,55
2016-06-11,69
2016-06-18,83
2016-06-25,51
2016-07-02,77
2016-07-09,71
2016-07-16,65
2016-07-23,63
2016-07-30,72
2016-08-06,71
2016-08-13,68
2016-08-20,74
2016-08-27,75
2016-09-03,57
2016-09-10,52
2016-09-17,55
2016-09-24,61
2016-10-01,63
2016-10-08,63
2016-10-15,73
2016-10-22,67
2016-10-29,61
2016-11-05,74
2016-11-12,74
2016-11-19,55
2016-11-26,59
2016-12-03,59
2016-12-10,67
2016-12-17,66
2016-12-24,88
2016-12-31,100
