,Search Term,plant based restaurants near me
0,2016-11-26,0.0
1,2016-12-03,0.0
2,2016-12-10,0.0
3,2016-12-17,0.0
4,2016-12-24,0.0
5,2016-12-31,0.0
6,2017-01-07,0.0
7,2017-01-14,0.0
8,2017-01-21,0.0
9,2017-01-28,0.0
10,2017-02-04,0.0
11,2017-02-11,0.0
12,2017-02-18,0.0
13,2017-02-25,0.0
14,2017-03-04,0.0
15,2017-03-11,0.0
16,2017-03-18,0.0
17,2017-03-25,0.0
18,2017-04-01,0.0
19,2017-04-08,0.0
20,2017-04-15,0.0
21,2017-04-22,0.0
22,2017-04-29,0.0
23,2017-05-06,0.0
24,2017-05-13,0.0
25,2017-05-20,0.0
26,2017-05-27,0.0
27,2017-06-03,0.0
28,2017-06-10,0.0
29,2017-06-17,0.0
30,2017-06-24,0.0
31,2017-07-01,0.0
32,2017-07-08,0.0
33,2017-07-15,0.0
34,2017-07-22,0.0
35,2017-07-29,0.0
36,2017-08-05,34.24878048780488
37,2017-08-12,0.0
38,2017-08-19,0.0
39,2017-08-26,0.0
40,2017-09-02,0.0
41,2017-09-09,0.0
42,2017-09-16,0.0
43,2017-09-23,0.0
44,2017-09-30,0.0
45,2017-10-07,0.0
46,2017-10-14,0.0
47,2017-10-21,0.0
48,2017-10-28,0.0
49,2017-11-04,0.0
50,2017-11-11,0.0
51,2017-11-18,0.0
52,2017-11-25,0.0
53,2017-12-02,0.0
54,2017-12-09,0.0
55,2017-12-16,0.0
56,2017-12-23,0.0
57,2017-12-30,0.0
58,2018-01-06,0.0
59,2018-01-13,0.0
60,2018-01-20,24.38048780487805
61,2018-01-27,0.0
62,2018-02-03,0.0
63,2018-02-10,0.0
64,2018-02-17,0.0
65,2018-02-24,0.0
66,2018-03-03,0.0
67,2018-03-10,0.0
68,2018-03-17,0.0
69,2018-03-24,0.0
70,2018-03-31,0.0
71,2018-04-07,0.0
72,2018-04-14,0.0
73,2018-04-21,0.0
74,2018-04-28,20.31707317073171
75,2018-05-05,0.0
76,2018-05-12,0.0
77,2018-05-19,0.0
78,2018-05-26,0.0
79,2018-06-02,0.0
80,2018-06-09,0.0
81,2018-06-16,0.0
82,2018-06-23,0.0
83,2018-06-30,0.0
84,2018-07-07,0.0
85,2018-07-14,0.0
86,2018-07-21,0.0
87,2018-07-28,0.0
88,2018-08-04,0.0
89,2018-08-11,0.0
90,2018-08-18,0.0
91,2018-08-25,0.0
92,2018-09-01,0.0
93,2018-09-08,0.0
94,2018-09-15,0.0
95,2018-09-22,0.0
96,2018-09-29,0.0
97,2018-10-06,0.0
98,2018-10-13,0.0
99,2018-10-20,0.0
100,2018-10-27,0.0
101,2018-11-03,0.0
102,2018-11-10,0.0
103,2018-11-17,0.0
104,2018-11-24,0.0
105,2018-12-01,0.0
106,2018-12-08,0.0
107,2018-12-15,0.0
108,2018-12-22,0.0
109,2018-12-29,0.0
110,2019-01-05,0.0
111,2019-01-12,0.0
112,2019-01-19,18.575609756097563
113,2019-01-26,17.995121951219513
114,2019-02-02,0.0
115,2019-02-09,0.0
116,2019-02-16,0.0
117,2019-02-23,0.0
118,2019-03-02,20.897560975609757
119,2019-03-09,0.0
120,2019-03-16,0.0
121,2019-03-23,0.0
122,2019-03-30,0.0
123,2019-04-06,21.478048780487807
124,2019-04-13,22.058536585365857
125,2019-04-20,0.0
126,2019-04-27,18.575609756097563
127,2019-05-04,19.73658536585366
128,2019-05-11,0.0
129,2019-05-18,26.121951219512198
130,2019-05-25,0.0
131,2019-06-01,31.34634146341464
132,2019-06-08,0.0
133,2019-06-15,0.0
134,2019-06-22,0.0
135,2019-06-29,18.575609756097563
136,2019-07-06,24.38048780487805
137,2019-07-13,0.0
138,2019-07-20,0.0
139,2019-07-27,29.02439024390244
140,2019-08-03,25.54146341463415
141,2019-08-10,21.478048780487807
142,2019-08-17,0.0
143,2019-08-24,22.058536585365857
144,2019-08-31,0.0
145,2019-09-07,40.63414634146342
146,2019-09-14,20.31707317073171
147,2019-09-21,0.0
148,2019-09-28,0.0
149,2019-10-05,22.639024390243904
150,2019-10-12,0.0
151,2019-10-19,47.019512195121955
152,2019-10-26,41.21463414634147
153,2019-11-02,48.7609756097561
154,2019-11-09,58.04878048780488
155,2019-11-16,53.40487804878049
156,2019-11-23,34.82926829268293
157,2019-11-30,46.43902439024391
158,2019-12-07,28.44390243902439
159,2019-12-14,40.053658536585374
160,2019-12-21,21.478048780487807
161,2019-12-28,45.27804878048781
162,2020-01-04,48.7609756097561
163,2020-01-11,47.019512195121955
164,2020-01-18,56.307317073170736
165,2020-01-25,49.0
166,2020-02-01,31.0
167,2020-02-08,34.0
168,2020-02-15,47.0
169,2020-02-22,35.0
170,2020-02-29,42.0
171,2020-03-07,22.0
172,2020-03-14,0.0
173,2020-03-21,0.0
174,2020-03-28,0.0
175,2020-04-04,0.0
176,2020-04-11,0.0
177,2020-04-18,0.0
178,2020-04-25,16.0
179,2020-05-02,0.0
180,2020-05-09,20.0
181,2020-05-16,24.0
182,2020-05-23,0.0
183,2020-05-30,15.0
184,2020-06-06,0.0
185,2020-06-13,26.0
186,2020-06-20,30.0
187,2020-06-27,0.0
188,2020-07-04,22.0
189,2020-07-11,22.0
190,2020-07-18,30.0
191,2020-07-25,40.0
192,2020-08-01,46.0
193,2020-08-08,32.0
194,2020-08-15,24.0
